org_login,repo_name,detected_language,commit_count,gold_ingested_at
quantified-uncertainty,quantified-uncertainty/squiggle,JavaScript,573,2026-05-14 21:52:28.764978
whosumdotcom,whosumdotcom/srchposts240101,JavaScript,121,2026-05-14 21:52:28.764978
opencast,opencast/opencast,JavaScript,93,2026-05-14 21:52:28.764978
kunitsucom,kunitsucom/util.go,SQL,58,2026-05-14 21:52:28.764978
openemp,openemp/openemp-api-message,JavaScript,55,2026-05-14 21:52:28.764978
quantified-uncertainty,quantified-uncertainty/squiggle,TypeScript,42,2026-05-14 21:52:28.764978
gantsign,gantsign/stats,Python,41,2026-05-14 21:52:28.764978
gantsign,gantsign/maven-parent-poms,Java,35,2026-05-14 21:52:28.764978
opencast,opencast/opencast,Java,24,2026-05-14 21:52:28.764978
gantsign,gantsign/stats,JavaScript,24,2026-05-14 21:52:28.764978
darkchii,darkchii/score-inspector,JavaScript,23,2026-05-14 21:52:28.764978
opencast,opencast/opencast,Python,22,2026-05-14 21:52:28.764978
Unknown-Studios,Unknown-Studios/react-sitemap-generator,JavaScript,19,2026-05-14 21:52:28.764978
EYRA-Benchmark,EYRA-Benchmark/comic,Python,18,2026-05-14 21:52:28.764978
okta-samples,okta-samples/okta-vue-sample,JavaScript,18,2026-05-14 21:52:28.764978
markedjs,markedjs/marked-bidi,JavaScript,17,2026-05-14 21:52:28.764978
mumble-voip,mumble-voip/mumble,C++,16,2026-05-14 21:52:28.764978
RANDSUM,RANDSUM/randsum-rn,JavaScript,15,2026-05-14 21:52:28.764978
jprofessionals,jprofessionals/my-page,JavaScript,15,2026-05-14 21:52:28.764978
aws-containers,aws-containers/retail-store-sample-app,Java,14,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swa94bb735521414e86b48f222cf7351eee,JavaScript,12,2026-05-14 21:52:28.764978
gnostr-org,gnostr-org/gnostr-tui,Rust,12,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swab3a65ad871094abc90cde734506535f4,JavaScript,12,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swac39ebc9c395b47e98fe3f32f22f5d263,JavaScript,12,2026-05-14 21:52:28.764978
sailfishos-mirror,sailfishos-mirror/libphonenumber,Java,12,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swa97fc7d74e83440c2b4761dae0b24b64f,JavaScript,12,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swaa64945b63d9e4009a1aa735780b18eff,JavaScript,12,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swa8f5fb517f86445a9b16da72b90021158,JavaScript,12,2026-05-14 21:52:28.764978
opensource254,opensource254/covid-19-web,JavaScript,12,2026-05-14 21:52:28.764978
enonic,enonic/tutorial-myfirstsite,JavaScript,12,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swa922573ccfee84d69b174bd15a20015b3,JavaScript,12,2026-05-14 21:52:28.764978
NixOS,NixOS/nixpkgs,Python,11,2026-05-14 21:52:28.764978
B3Partners,B3Partners/brmo,Java,11,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swa87a2e2fe7ff444f7a3497355433a66ff,JavaScript,11,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swa936ea06ba02244a2bf2bc74eabdb5dfd,JavaScript,10,2026-05-14 21:52:28.764978
aims-group,aims-group/metagrid,Python,10,2026-05-14 21:52:28.764978
gtech-mulearn,gtech-mulearn/yiptrackingbk,Python,10,2026-05-14 21:52:28.764978
Scalingo,Scalingo/scalingo.js,TypeScript,10,2026-05-14 21:52:28.764978
Scalingo,Scalingo/scalingo.js,JavaScript,10,2026-05-14 21:52:28.764978
suttacentral,suttacentral/bilara-data,JavaScript,9,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swa87a2e2fe7ff444f7a3497355433a66ff,TypeScript,9,2026-05-14 21:52:28.764978
DefinitelyTyped,DefinitelyTyped/DefinitelyTyped,JavaScript,9,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swa00f29bba5a8948149636fae6be8055d8,TypeScript,9,2026-05-14 21:52:28.764978
withsparkle,withsparkle/service,Go,9,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swa00f29bba5a8948149636fae6be8055d8,JavaScript,9,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swa922573ccfee84d69b174bd15a20015b3,TypeScript,9,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swa94bb735521414e86b48f222cf7351eee,TypeScript,9,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swac39ebc9c395b47e98fe3f32f22f5d263,TypeScript,9,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swa97fc7d74e83440c2b4761dae0b24b64f,TypeScript,9,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swa936ea06ba02244a2bf2bc74eabdb5dfd,TypeScript,9,2026-05-14 21:52:28.764978
systemli,systemli/ticker-admin,JavaScript,8,2026-05-14 21:52:28.764978
NixOS,NixOS/nixpkgs,Rust,8,2026-05-14 21:52:28.764978
kiwiproject,kiwiproject/champagne-service,JavaScript,8,2026-05-14 21:52:28.764978
EOSC-synergy,EOSC-synergy/FAIR_eva,Python,8,2026-05-14 21:52:28.764978
kiwiproject,kiwiproject/kiwi-test-js,TypeScript,8,2026-05-14 21:52:28.764978
OneBusAway,OneBusAway/onebusaway-application-modules,Java,8,2026-05-14 21:52:28.764978
elucidation-project,elucidation-project/elucidation-client-js,TypeScript,8,2026-05-14 21:52:28.764978
metabrainz,metabrainz/listenbrainz-android,Java,8,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swaa64945b63d9e4009a1aa735780b18eff,TypeScript,7,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swa8f5fb517f86445a9b16da72b90021158,TypeScript,7,2026-05-14 21:52:28.764978
Ree6-Applications,Ree6-Applications/Ree6,SQL,6,2026-05-14 21:52:28.764978
Lightning-AI,Lightning-AI/tutorials,Python,6,2026-05-14 21:52:28.764978
dailydotdev,dailydotdev/action-devcard,TypeScript,6,2026-05-14 21:52:28.764978
bryanjtc-platzi,bryanjtc-platzi/react-avanzado,JavaScript,6,2026-05-14 21:52:28.764978
kiwiproject,kiwiproject/kiwi-js,TypeScript,6,2026-05-14 21:52:28.764978
polkadot-fellows,polkadot-fellows/dashboard,JavaScript,6,2026-05-14 21:52:28.764978
BlueMoonDevelopment,BlueMoonDevelopment/expenseman-api,JavaScript,6,2026-05-14 21:52:28.764978
Lightning-AI,Lightning-AI/lightning-Habana,Python,6,2026-05-14 21:52:28.764978
openlawlibrary,openlawlibrary/stelae,Rust,6,2026-05-14 21:52:28.764978
iSharkFly-Docs,iSharkFly-Docs/angular-docs-cn,JavaScript,6,2026-05-14 21:52:28.764978
enonic,enonic/app-cty-manager,JavaScript,6,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swab3a65ad871094abc90cde734506535f4,TypeScript,6,2026-05-14 21:52:28.764978
brython-dev,brython-dev/brython,Python,6,2026-05-14 21:52:28.764978
NamseEnt,NamseEnt/namseent,Rust,6,2026-05-14 21:52:28.764978
eo-cqrs,eo-cqrs/eo-kafka,Java,6,2026-05-14 21:52:28.764978
py-mine,py-mine/mcstatus,Python,6,2026-05-14 21:52:28.764978
vendored,vendored/nixpkgs,Python,6,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swa6e42598bd4594ece9bc21067ad489448,JavaScript,5,2026-05-14 21:52:28.764978
Unknown-Studios,Unknown-Studios/react-sitemap-generator,TypeScript,5,2026-05-14 21:52:28.764978
gantsign,gantsign/stats,TypeScript,5,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swa8185778a924747229fa6ed831fe2b375,JavaScript,5,2026-05-14 21:52:28.764978
celo-tracker,celo-tracker/tokens,JavaScript,5,2026-05-14 21:52:28.764978
uscclasses,uscclasses/flat-data-test,JavaScript,5,2026-05-14 21:52:28.764978
cfwss,cfwss/conf,Shell,5,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swadb86f475ec6f4514b09ab75810cbac19,JavaScript,5,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swad396e74c065b4699b5aa18e4f3945343,JavaScript,5,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swa161fdb8f41e14f658de2cb5ec426f780,JavaScript,5,2026-05-14 21:52:28.764978
acdh-oeaw,acdh-oeaw/OpenAtlas,Shell,5,2026-05-14 21:52:28.764978
hypertrace,hypertrace/hyperdash-angular,JavaScript,5,2026-05-14 21:52:28.764978
xdslproject,xdslproject/xdsl,Python,5,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swafe5ca5226630472abe0768233bb7b297,JavaScript,5,2026-05-14 21:52:28.764978
ndsev,ndsev/mapget,Python,5,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swa80aab2a4c73f4e769e17b3e52e440e95,JavaScript,5,2026-05-14 21:52:28.764978
OHDSI,OHDSI/Arachne,Java,5,2026-05-14 21:52:28.764978
kotest,kotest/kotest-extensions-spring,Java,5,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swad406f336c5344d82b19a8c250e7b901c,JavaScript,5,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swab2d6a4d33b30442c882ba09b39c17557,JavaScript,5,2026-05-14 21:52:28.764978
wix,wix/wix-headless-example,JavaScript,5,2026-05-14 21:52:28.764978
Jounce-IO,Jounce-IO/ggml,C++,5,2026-05-14 21:52:28.764978
python-discord,python-discord/bot,Python,5,2026-05-14 21:52:28.764978
termux,termux/upload-release-action,TypeScript,5,2026-05-14 21:52:28.764978
Wunderbyte-GmbH,Wunderbyte-GmbH/moodle-mod_booking,PHP,5,2026-05-14 21:52:28.764978
dev-bcn,dev-bcn/dev-bcn.github.io,JavaScript,5,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swa92d0fa1c62b04fe791af7878950586fd,JavaScript,4,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swa09d7dd3305fb4524930eef9340706583,JavaScript,4,2026-05-14 21:52:28.764978
influxdata,influxdata/influxdb2-sample-data,JavaScript,4,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swadc554a03b49242ae81abe7389cbc413e,JavaScript,4,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swa5ca8b9cdc3364b3198858f79703bf4cd,JavaScript,4,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swa899725f2a62d4ddda39d677341aa9483,JavaScript,4,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swa421fc8e5e215452fb6988680fa784444,JavaScript,4,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swa200b3e011c144d169447c1a725e072a8,JavaScript,4,2026-05-14 21:52:28.764978
static-web-apps-testing-org,static-web-apps-testing-org/swa72c5a6bd64594f79b871a6f5a287ab06,JavaScript,4,2026-05-14 21:52:28.764978
