repo_id,repo_name,org_login,total_events,unique_contributors,push_count,pr_count,issue_count,watch_count,fork_count,comment_count,total_commits,repo_health_score,gold_ingested_at
500849499,mergifyio-testing/functional-testing-repo-Greesb,mergifyio-testing,1036,4,68,310,0,0,0,54,140,175.6,2026-05-14 21:50:40.050551
312393864,quantified-uncertainty/squiggle,quantified-uncertainty,535,6,145,67,0,0,0,247,1320,116.57,2026-05-14 21:50:40.050551
511095846,exorde-labs/TestnetProtocol,exorde-labs,206,1,206,0,0,0,0,0,206,309.0,2026-05-14 21:50:40.050551
563355926,starknet-io/starknet-website,starknet-io,206,5,49,77,0,1,0,0,96,50.25,2026-05-14 21:50:40.050551
2209077,JetBrains/MPS,JetBrains,166,1,0,0,0,0,0,0,0,0.0,2026-05-14 21:50:40.050551
312213995,ticgal/glpi,ticgal,125,1,0,52,0,0,0,22,0,63.0,2026-05-14 21:50:40.050551
251354071,sailfishos-mirror/libphonenumber,sailfishos-mirror,124,1,12,57,0,0,0,10,27,80.0,2026-05-14 21:50:40.050551
737654705,whosumdotcom/aesposts240101,whosumdotcom,121,16,121,0,0,0,0,0,121,21.35,2026-05-14 21:50:40.050551
385637027,movie-web/movie-web,movie-web,121,120,0,0,0,111,10,0,0,0.5,2026-05-14 21:50:40.050551
737654701,whosumdotcom/srchposts240101,whosumdotcom,121,16,121,0,0,0,0,0,121,21.35,2026-05-14 21:50:40.050551
4542716,NixOS/nixpkgs,NixOS,115,18,34,42,4,0,0,12,75,10.74,2026-05-14 21:50:40.050551
689330055,libranet/libranet-quantum,libranet,96,2,15,34,0,0,0,0,30,37.67,2026-05-14 21:50:40.050551
544353788,Risk-DAO/simulation-results,Risk-DAO,95,1,95,0,0,0,0,0,95,142.5,2026-05-14 21:50:40.050551
545589732,aws-containers/retail-store-sample-app,aws-containers,93,2,8,32,0,0,0,6,18,31.33,2026-05-14 21:50:40.050551
528452180,prawn-test-staging-rw/mergequeue_service_test_commit_status,prawn-test-staging-rw,93,2,9,18,0,0,0,17,15,26.67,2026-05-14 21:50:40.050551
571940136,coinhall/yacar,coinhall,71,6,21,27,0,0,1,0,21,16.79,2026-05-14 21:50:40.050551
181009886,enonic/tutorial-myfirstsite,enonic,70,2,23,24,0,0,0,0,105,39.0,2026-05-14 21:50:40.050551
148101359,aergoio/herapy,aergoio,70,2,66,2,0,0,0,1,66,67.67,2026-05-14 21:50:40.050551
171287683,EYRA-Benchmark/comic,EYRA-Benchmark,70,2,65,2,0,0,0,1,65,66.67,2026-05-14 21:50:40.050551
115198687,opencast/opencast,opencast,68,3,31,13,0,0,0,11,284,32.5,2026-05-14 21:50:40.050551
147100100,gantsign/stats,gantsign,68,3,42,12,0,0,0,2,182,38.0,2026-05-14 21:50:40.050551
3623050,Homebrew/homebrew-cask,Homebrew,64,3,16,31,0,0,0,1,32,27.75,2026-05-14 21:50:40.050551
429522479,enonic/app-cty-manager,enonic,62,2,20,20,0,0,0,2,43,34.0,2026-05-14 21:50:40.050551
408894306,google-test/signclav2-probe-repo,google-test,59,4,3,32,0,0,0,21,3,18.8,2026-05-14 21:50:40.050551
645163944,OpenDocCN/flygon-parallel-corpus,OpenDocCN,54,1,54,0,0,0,0,0,54,81.0,2026-05-14 21:50:40.050551
732540482,The-Great-Sign/IDE-Project-frontend-next,The-Great-Sign,53,4,7,8,0,0,0,4,240,8.2,2026-05-14 21:50:40.050551
68325732,CodePipelineTestOrg/TestRepo,CodePipelineTestOrg,53,1,17,0,0,0,0,0,17,25.5,2026-05-14 21:50:40.050551
737780422,Github-Workflow-Test-Org/veracode,Github-Workflow-Test-Org,53,1,53,0,0,0,0,0,53,79.5,2026-05-14 21:50:40.050551
432313227,Unknown-Studios/react-sitemap-generator,Unknown-Studios,47,2,14,9,0,0,0,0,38,20.0,2026-05-14 21:50:40.050551
702211960,withsparkle/service,withsparkle,44,2,5,13,0,0,0,13,28,18.0,2026-05-14 21:50:40.050551
